symbol,name,industry,exchange,price,pe_ttm,pb,turnover_rate,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,median_pe,median_pb,pe_discount,pb_discount,score
002839.SZ,张家港行,银行,SZSE,7.07,5.6112,0.6089,1.1053,1102399.5833,1101379.8953,6.6519,2026-03-06,110.23995833000001,110.13798953,6.088150000000001,0.5860000000000001,7.834071105343998,-3.9078498293515285,21.91697349333214
003019.SZ,宸展光电,元器件,SZSE,44.03,30.1384,3.2781,0.8887,546403.85,528144.5403,1.6142,2026-03-06,54.640384999999995,52.81445403,46.41985,3.6221,35.07432703897146,9.497252974793636,21.721506708026677
600469.SH,风神股份,汽车配件,SSE,14.05,28.3603,1.4049,1.4095,648835.3779,531769.685,0.4497,2026-03-06,64.88353778999999,53.17696850000001,33.56925,2.6611000000000002,15.517028232683183,47.20604261395663,21.717724077260264
600368.SH,五洲交通,路桥,SSE,14.9,10.1588,0.9073,0.8935,650300.1586,650300.1586,3.2426,2026-03-06,65.03001585999999,65.03001585999999,12.9667,1.0202,21.65470011645214,11.066457557341703,21.70961731378337
000686.SZ,东北证券,证券,SZSE,163.8,13.8833,1.0335,0.9561,2036194.0361,2036194.0361,1.954,2026-03-06,203.61940360999998,203.61940360999998,19.207250000000002,1.22475,27.718439651694027,15.615431720759332,21.63400537690541
600499.SH,科达制造,专用机械,SSE,354.27,22.6172,2.6124,1.319,3285287.9978,3285287.9978,1.131,2026-03-06,328.52879978,328.52879978,37.0845,2.8635,39.01171648532406,8.768988999476168,21.628383293972476
002057.SZ,中钢天源,矿物制品,SZSE,66.95,36.0435,2.6729,2.4636,853396.3552,852877.0049,1.0954,2026-03-06,85.33963552,85.28770049,48.4429,3.6466499999999997,25.595907759444625,26.702590048400587,21.535340118298027
600196.SH,复星医药,化学制药,SSE,348.44,21.0785,1.4406,0.7312,6919082.3811,5489004.5456,1.2234,2026-03-06,691.90823811,548.90045456,24.56945,2.3919499999999996,14.208498765743638,39.772988565814494,21.285496076041802
601200.SH,上海环境,环境保护,SSE,14.71,19.9861,1.0254,2.4273,1188721.3116,1188721.3116,1.1325,2026-03-06,118.87213116,118.87213116,24.110750000000003,1.6168,17.107099530292512,36.57842652152399,21.2138677685742
600535.SH,天士力,中成药,SSE,132.32,19.2183,1.713,0.7225,2124396.9071,2124396.9071,2.8833,2026-03-06,212.43969071,212.43969071,22.1063,2.2639,13.064149133957292,24.334113697601477,21.17579376286336
