symbol,total_amount,total_shares,num_buyers,key_person_amount,key_person_count,latest_date,key_person_details
688216,32176000.0,1600000,2,32176000.0,2,2026-02-12,"[{'name': '白瑛', 'title': '董事', 'amount': 24132000.0, 'shares': 1200000, 'price': 20.11, 'date': Timestamp('2026-02-12 00:00:00'), 'is_key': True}, {'name': '梁大钟', 'title': '董事', 'amount': 8044000.0, 'shares': 400000, 'price': 20.11, 'date': Timestamp('2026-02-12 00:00:00'), 'is_key': True}]"
603300,30690520.0,4200000,1,30690520.0,2,2026-02-13,"[{'name': '胡丹锋', 'title': '董事、高级管理人员', 'amount': 18665920.0, 'shares': 2564000, 'price': 7.28, 'date': Timestamp('2026-02-13 00:00:00'), 'is_key': True}, {'name': '胡丹锋', 'title': '董事、高级管理人员', 'amount': 12024600.0, 'shares': 1636000, 'price': 7.35, 'date': Timestamp('2026-02-12 00:00:00'), 'is_key': True}]"
300639,26841000.0,5900000,1,26841000.0,2,2026-01-13,"[{'name': '王建瑜', 'title': '董事、高管', 'amount': 8721000.0, 'shares': 1900000, 'price': 4.59, 'date': Timestamp('2026-01-13 00:00:00'), 'is_key': True}, {'name': '王建瑜', 'title': '董事、高管', 'amount': 18120000.0, 'shares': 4000000, 'price': 4.53, 'date': Timestamp('2026-01-09 00:00:00'), 'is_key': True}]"
688192,26268540.99,2733459,12,25745997.24,9,2026-01-27,"[{'name': '陈素勤', 'title': '高级管理人员、核心技术人员', 'amount': 480500.0, 'shares': 50000, 'price': 9.61, 'date': Timestamp('2026-01-27 00:00:00'), 'is_key': True}, {'name': '杨振帆', 'title': '高级管理人员、核心技术人员', 'amount': 2300393.75, 'shares': 239375, 'price': 9.61, 'date': Timestamp('2026-01-27 00:00:00'), 'is_key': True}, {'name': '吕洪斌', 'title': '高级管理人员', 'amount': 1777850.0, 'shares': 185000, 'price': 9.61, 'date': Timestamp('2026-01-27 00:00:00'), 'is_key': True}]"
002833,23759686.0,1300000,1,23759686.0,3,2026-03-03,"[{'name': '李茂洪', 'title': '董事、高管', 'amount': 17398162.0, 'shares': 950200, 'price': 18.31, 'date': Timestamp('2026-03-03 00:00:00'), 'is_key': True}, {'name': '李茂洪', 'title': '董事、高管', 'amount': 4395924.0, 'shares': 241800, 'price': 18.18, 'date': Timestamp('2026-01-29 00:00:00'), 'is_key': True}, {'name': '李茂洪', 'title': '董事、高管', 'amount': 1965600.0, 'shares': 108000, 'price': 18.2, 'date': Timestamp('2026-01-28 00:00:00'), 'is_key': True}]"
600801,22956450.0,2578500,11,22956450.0,12,2025-12-31,"[{'name': '陈骞', 'title': '高级管理人员', 'amount': 1589540.0, 'shares': 178600, 'price': 8.9, 'date': Timestamp('2025-12-31 00:00:00'), 'is_key': True}, {'name': '王加军', 'title': '高级管理人员', 'amount': 1492530.0, 'shares': 167700, 'price': 8.9, 'date': Timestamp('2025-12-31 00:00:00'), 'is_key': True}, {'name': '汤峻', 'title': '高级管理人员', 'amount': 1380390.0, 'shares': 155100, 'price': 8.9, 'date': Timestamp('2025-12-31 00:00:00'), 'is_key': True}]"
601330,22735000.0,7500000,11,22735000.0,11,2025-12-23,"[{'name': '黄建中', 'title': '高级管理人员', 'amount': 1917500.0, 'shares': 650000, 'price': 2.95, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}, {'name': '郝敬立', 'title': '高级管理人员', 'amount': 1917500.0, 'shares': 650000, 'price': 2.95, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}, {'name': '胡声泳', 'title': '董事', 'amount': 1917500.0, 'shares': 650000, 'price': 2.95, 'date': Timestamp('2025-12-23 00:00:00'), 'is_key': True}]"
300375,21889702.0,3897500,1,21889702.0,8,2026-02-12,"[{'name': '王志方', 'title': '董事', 'amount': 2873595.0, 'shares': 501500, 'price': 5.73, 'date': Timestamp('2026-02-12 00:00:00'), 'is_key': True}, {'name': '王志方', 'title': '董事', 'amount': 5504832.0, 'shares': 955700, 'price': 5.76, 'date': Timestamp('2026-02-11 00:00:00'), 'is_key': True}, {'name': '王志方', 'title': '董事', 'amount': 1899225.0, 'shares': 330300, 'price': 5.75, 'date': Timestamp('2026-02-10 00:00:00'), 'is_key': True}]"
002832,20000546.0,1215100,1,20000546.0,1,2026-03-06,"[{'name': '谢邕', 'title': '高管', 'amount': 20000546.0, 'shares': 1215100, 'price': 16.46, 'date': Timestamp('2026-03-06 00:00:00'), 'is_key': True}]"
603007,18078000.0,6550000,8,16422000.0,6,2026-01-16,"[{'name': '罗贤辉', 'title': '高级管理人员', 'amount': 1380000.0, 'shares': 500000, 'price': 2.76, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}, {'name': '祝小林', 'title': '董事、高级管理人员', 'amount': 1380000.0, 'shares': 500000, 'price': 2.76, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}, {'name': '朱会俊', 'title': '高级管理人员', 'amount': 552000.0, 'shares': 200000, 'price': 2.76, 'date': Timestamp('2026-01-16 00:00:00'), 'is_key': True}]"
