symbol,name,industry,exchange,price,pe_ttm,pb,ps_ttm,turnover_rate,volume_ratio,market_cap_10k,circulating_cap_10k,dividend_yield_ttm,date,market_cap,circulating_cap,momentum_20d,momentum_60d,price_vs_ma120,price_vs_ma60,volatility_20d,pe_score,pb_score,ps_score,dividend_score,momentum_20d_score,momentum_60d_score,turnover_deviation,turnover_score,volume_ratio_deviation,volume_ratio_score,stability_score,total_score
600483.SH,福能股份,新型电力,SSE,10.35,9.5629,1.0964,2.0388,1.3434,1.02,2877442.623,2877442.623,3.7005,2026-03-09,287.7442623,287.7442623,14.364640883977886,2.882703777335971,,1.0701361364811306,27.267311589316922,95.77464788732394,88.66837387964148,55.8898847631242,83.99487836107554,91.61331626120358,49.807938540332906,0.15660000000000007,90.52496798975672,0.17999999999999994,75.44814340588988,65.36491677336747,76.7797695262484
002091.SZ,江苏国泰,商贸代理,SZSE,9.03,11.357,0.9516,0.3684,1.5992,0.94,1469826.3651,1441932.4919,5.2046,2026-03-09,146.98263651,144.19324919,5.614035087719271,0.6688963210702115,,1.00407709414381,28.39466715153909,92.44558258642766,92.63764404609475,95.90268886043533,94.75032010243278,73.6235595390525,41.74135723431498,0.09919999999999995,94.36619718309859,0.26,61.29961587708067,62.419974391805376,76.68693982074265
601330.SH,绿色动力,环境保护,SSE,7.62,15.3987,1.3347,3.1722,1.7827,1.27,1090105.36,753690.1385,3.7946,2026-03-09,109.01053600000002,75.36901385,6.872370266479666,8.39260312944523,,1.0809532816341971,16.82031011014466,82.01024327784891,80.15364916773368,34.82714468629962,85.2112676056338,77.78489116517285,66.32522407170295,0.28269999999999995,82.77848911651728,0.07000000000000006,91.61331626120358,93.91805377720871,76.66773367477592
002483.SZ,润邦股份,专用机械,SZSE,7.91,15.4369,1.5987,0.9023,1.6247,0.91,701196.5147,700233.382,3.7927,2026-03-09,70.11965147000001,70.0233382,9.556786703601116,14.804063860667638,,1.0798389115150964,31.486441416295534,81.75416133162612,71.38284250960308,84.82714468629962,85.1472471190781,84.05889884763124,78.23303457106275,0.12470000000000003,92.18950064020487,0.2899999999999999,55.441741357234314,52.11267605633803,76.6293213828425
000690.SZ,宝新能源,火力发电,SZSE,4.82,11.2254,0.8355,1.2264,5.0589,1.18,1048777.9495,1048095.2028,4.1494,2026-03-09,104.87779495000001,104.80952028,11.059907834101402,10.550458715596323,,1.0901688781664658,27.283832833100263,92.89372599231754,95.19846350832266,78.16901408450704,88.18822023047375,86.74775928297055,71.67093469910371,3.5589000000000004,11.395646606914212,0.020000000000000018,97.15108834827144,65.30089628681178,76.59250960307298
000404.SZ,长虹华意,家用电器,SZSE,7.14,10.9424,1.1687,0.4273,2.4214,1.26,496941.129,494601.7744,4.2017,2026-03-09,49.6941129,49.46017744,3.0303030303030276,3.0303030303030276,,1.0236314544455327,18.87485131172749,93.34186939820742,86.10755441741357,94.94238156209987,88.86043533930858,64.40460947503202,50.288092189500645,0.9214000000000002,46.60691421254801,0.06000000000000005,92.797695262484,90.39692701664532,76.50928297055059
600642.SH,申能股份,火力发电,SSE,9.0,11.0718,1.1992,1.5631,0.8774,0.84,4404671.4384,4404431.8404,5.0,2026-03-09,440.46714384,440.44318404,9.090909090909083,9.223300970873783,,1.0926308121889037,17.682562756360422,93.02176696542894,85.4033290653009,68.30985915492957,93.53393085787451,83.06658130601792,68.62996158770807,0.6226,63.124199743918055,0.36,39.56466069142125,92.76568501920615,76.32682458386684
600027.SH,华电国际,火力发电,SSE,5.19,8.6298,1.2651,0.4858,1.6105,0.84,6026510.8015,4782936.5327,4.0604,2026-03-09,602.65108015,478.29365327000005,7.23140495867769,-1.1428571428571344,,1.0262325336145532,15.925761433287681,97.0550576184379,83.22663252240717,93.46991037131882,87.32394366197182,78.80921895006402,36.107554417413574,0.11050000000000004,93.21382842509603,0.36,39.56466069142125,95.51856594110116,76.17477592829705
600863.SH,内蒙华电,火力发电,SSE,5.4,20.5035,1.8685,2.0378,1.6144,1.17,4231002.3624,3524519.4179,3.3938,2026-03-09,423.10023624,352.45194179,13.684210526315788,11.801242236024855,,1.1297071129707112,27.81417038238051,65.42893725992317,60.43533930857875,55.9539052496799,80.98591549295774,90.46094750320103,73.6235595390525,0.11440000000000006,92.95774647887323,0.030000000000000027,95.77464788732394,63.63636363636363,76.12996158770805
603995.SH,甬金股份,特种钢,SSE,18.88,10.2844,1.2074,0.1625,1.4306,0.83,690286.5858,690286.5858,4.214,2026-03-09,69.02865858,69.02865858,2.497285559174789,10.409356725146178,,1.013945328583448,28.991470991511875,94.75032010243278,84.95518565941101,98.71959026888604,89.05249679897568,61.9078104993598,71.25480153649167,0.0693999999999999,95.96670934699104,0.37,37.676056338028175,60.179257362355955,76.10435339308579
601117.SH,中国化学,建筑工程,SSE,9.18,9.2163,0.8636,0.2989,3.6006,1.33,5605919.5367,5588845.8383,3.1155,2026-03-09,560.59195367,558.88458383,10.735826296743078,20.63074901445465,,1.1127947148312016,41.85909622528302,96.22279129321383,94.62227912932138,97.1830985915493,78.04097311139564,86.29961587708067,85.1472471190781,2.1006,22.727272727272734,0.13000000000000012,82.84250960307298,29.897567221510883,75.8706786171575
600035.SH,楚天高速,路桥,SSE,3.98,9.5172,0.7197,1.1867,1.0635,1.07,640826.1286,640826.1286,4.2714,2026-03-09,64.08261286000001,64.08261286000001,1.5306122448979664,-1.2406947890818976,,1.0073824087745202,14.741383915046793,96.03072983354673,96.73495518565942,79.3213828425096,89.75672215108835,58.002560819462225,35.787451984635084,0.4365000000000001,73.75160051216389,0.1299999999999999,83.7067861715749,96.99103713188221,75.69782330345711
600461.SH,洪城环境,水务,SSE,9.98,10.6722,1.328,1.6001,0.9071,1.19,1281587.0712,1281587.0712,4.6493,2026-03-09,128.15870712,128.15870712,4.28422152560084,0.4024144869215318,,1.0338933301103306,15.544550108914468,94.04609475032011,80.34571062740076,66.77336747759284,91.99743918053778,69.07810499359796,40.39692701664533,0.5929,64.46862996158771,0.010000000000000009,98.59154929577464,96.41485275288092,75.68501920614597
601669.SH,中国电建,建筑工程,SSE,5.92,9.5465,0.7092,0.1576,3.8422,1.28,10197886.3257,7738343.3032,2.1444,2026-03-09,1019.78863257,773.83433032,6.474820143884896,12.977099236641209,,1.0750279955207167,27.255408367863193,95.96670934699104,96.9270166453265,98.84763124199743,61.7157490396927,76.1843790012804,75.35211267605634,2.3422,19.718309859154928,0.08000000000000007,90.14084507042253,65.42893725992317,75.60499359795135
