symbol,name,industry,list_date,price,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,median_market_cap,stock_count,pe_vs_industry,growth_score
002728.SZ,特一药业,中成药,2014-07-31,,72.9253,3.2238,58.123182799999995,42.693065399999995,3.6268,0.4292,21.885,2.327,66.944,43.0,233.22047064199216,40
300669.SZ,沪宁股份,运输设备,2017-06-29,,442.5732,8.2678,72.26457225,68.43747637999999,2.5681,0.2653,36.9185,2.1153,46.792109894999996,36.0,1098.7843493099665,40
000595.SZ,*ST宝实,新型电力,1996-04-19,,707.3909,14.209,72.30467924,72.30467924,1.263,,28.6706,1.61005,202.213230455,22.0,2367.3041373392953,40
000036.SZ,华联控股,全国地产,1994-06-17,,186.9848,1.4252,72.43704621,72.29939072,2.6113,,,,,,0.0,40
688395.SH,正弦电气,机械基件,2021-04-29,,58.2761,3.0138,23.58055916,23.58055916,2.3755,0.5509,41.7448,3.607,53.566907365000006,70.0,39.60086046645331,40
600880.SH,博瑞传播,广告包装,1995-11-15,,403.6847,1.9137,58.16526729,58.14920531,2.0033,0.188,42.4467,2.1838499999999996,53.341144375,24.0,851.0390678191708,40
301368.SZ,丰立智能,机械基件,2022-12-15,,3465.4104,7.1784,69.64599,37.18402306,2.6327,0.1155,41.7448,3.607,53.566907365000006,70.0,8201.418140702555,40
001215.SZ,千味央厨,食品,2021-09-06,,64.555,1.9329,36.095105690000004,35.954852179999996,2.209,,27.69005,2.42235,59.643046725,64.0,133.13428469793305,40
920247.BJ,华密新材,橡胶,2022-12-23,,84.1799,7.5369,36.109122850000006,26.18996202,1.5674,0.4833,41.7583,2.6855,36.109122850000006,9.0,101.58842673193116,40
600616.SH,金枫酒业,红黄酒,1992-09-29,,137.7643,1.8516,35.59106334,35.59106334,1.1272,0.9398,,,,,0.0,40
002492.SZ,恒基达鑫,仓储物流,2010-11-02,,57.2214,2.0583,35.5995,34.96967233,4.457,0.2267,23.9118,1.8671,100.01544768,33.0,139.30193460969062,40
605123.SH,派克新材,航空,2020-08-25,,51.9828,2.9009,132.25802862,132.25802862,2.3382,0.6945,64.8122,3.1066,301.80269171000003,15.0,-19.79473000453619,40
300083.SZ,创世纪,机床制造,2010-05-20,,35.5028,2.5092,136.18575978,122.13028051,2.5904,,29.3766,3.6151,68.64574033999999,13.0,20.85401305801216,40
600559.SH,老白干酒,白酒,2002-10-29,,21.2476,2.5422,134.10197528999998,133.33408448999998,0.8629,3.7517,15.7895,2.8338,362.81881077,13.0,34.5679090534849,40
603668.SH,天马科技,饲料,2017-01-17,,255.1161,2.9679,69.89095619,69.89095619,2.1445,,30.1541,2.2236,114.79061653,15.0,746.0411685309791,40
002427.SZ,尤夫股份,化纤,2010-06-08,,257.3005,7.3906,70.06427044,70.01256004999999,2.3818,,33.4637,2.0447,114.32609461999999,19.0,668.8943541807988,40
603130.SH,云中马,纺织,2022-11-18,,70.2495,4.2996,58.746066240000005,58.746066240000005,1.4666,0.2341,26.09245,2.0822000000000003,49.34744082,30.0,169.2330540060439,40
300859.SZ,西域旅游,旅游服务,2020-08-06,,84.4925,7.2822,58.962,58.962,2.4701,0.7886,,,,,0.0,40
300885.SZ,海昌新材,机械基件,2020-09-10,,86.6079,6.7096,58.985682860000004,39.70012512,2.6257,0.5086,41.7448,3.607,53.566907365000006,70.0,107.4699124202296,40
