symbol,current_price,price_6m_ago,latest_date,start_date,return_6m,name,industry,current_price_fund,pe_ttm,pb,market_cap,circulating_cap,turnover_rate,dividend_yield_ttm,median_pe,median_pb,stock_count,hist_median_pe,hist_avg_pe,hist_std_pe,hist_median_pb,hist_avg_pb,excess_decline,pe_vs_hist_median,pb_vs_hist_median,sentiment_score,fundamental_score,total_score
603529.SH,,35.009999999172,2026-03-09,2025-09-10,-20.39417309151918,爱玛科技,摩托车,,10.3437,2.5452,242.22596134000003,236.2150924,0.4383,4.3573,18.781750000000002,2.9135,6.0,14.486450000000001,14.783321576763484,2.722178583649471,3.5704000000000002,3.6149087136929463,-20.39417309151918,-28.5974134449779,-28.71386959444321,75,40,115
603486.SH,,96.83,2026-03-09,2025-09-10,-34.78260869565217,科沃斯,家用电器,,22.7214,4.1978,365.58880474,362.07128659,1.1588,0.7081,26.2748,2.3427,48.0,41.17375,39.463830290456436,10.516786929995819,4.31845,4.650264730290457,-34.78260869565217,-44.81581104465831,-2.793826488670712,80,35,115
000521.SZ,,7.46,2026-03-09,2025-09-10,-16.621983914209117,长虹美菱,家用电器,,9.7471,1.0313,64.06125507,54.461056590000005,1.4225,5.3055,26.2748,2.3427,48.0,10.833,11.192579875518675,1.3243457035867625,1.3404,1.3615033195020745,-16.621983914209117,-10.024000738484267,-23.06028051327961,60,50,110
002304.SZ,,73.31,2026-03-09,2025-09-10,-30.20051834674669,洋河股份,白酒,,37.2448,1.5873,770.8479443699999,770.8297534300001,0.3482,4.528,15.7895,2.8338,13.0,15.056650000000001,22.697089004149372,12.366633713609941,2.2573,2.2454398340248964,-30.20051834674669,147.36445358031165,-29.68147787179373,70,40,110
002241.SZ,,30.930000000815998,2026-03-09,2025-09-10,-20.46556741237956,歌尔股份,元器件,,30.0013,2.4791,872.22865327,772.06290168,2.6777,1.188,45.1886,3.5744,71.0,36.3309,37.204663965884855,7.025193638612546,2.5436,2.5948326226012797,-20.46556741237956,-17.42208423132925,-2.5357760654190997,60,50,110
600415.SH,,19.4,2026-03-09,2025-09-10,-27.731958762886595,小商品城,商品城,,18.2954,3.4655,768.79500349,768.79500349,0.7115,2.3538,,,,25.35965,25.45159979253112,5.004955230483843,3.7390499999999998,3.7536116182572608,-27.731958762886595,-27.856259845857483,-7.316029472727023,65,45,110
600375.SH,,7.14,2026-03-09,2025-09-10,-24.089635854341733,汉马科技,汽车整车,,15.2413,2.598,86.88646809000001,79.27756819,1.3625,,21.4357,1.7981500000000001,14.0,36.45625,34.78128859649123,15.123533424188826,3.2394999999999996,3.1984399122807017,-24.089635854341733,-58.19290245156865,-19.80243864793949,70,35,105
600729.SH,,29.019999999314,2026-03-09,2025-09-10,-20.434183319966152,重庆百货,百货,,9.9635,1.3022,101.70061548,44.44428868,1.5587,6.5878,37.2023,1.3022,17.0,9.3385,9.412050829875517,1.2129011210516605,1.59705,1.549766804979253,-20.434183319966152,6.692723670825079,-18.462164616010774,50,55,105
601633.SH,,25.74,2026-03-09,2025-09-10,-22.222222222222218,长城汽车,汽车整车,,17.285,1.9901,1713.28602245,1243.09051667,0.1875,2.248,21.4357,1.7981500000000001,14.0,17.87625,18.868156224066393,3.3288196975390782,2.7615499999999997,2.690889211618257,-22.222222222222218,-3.3074610167121112,-27.93539859861309,60,45,105
001914.SZ,,12.41,2026-03-09,2025-09-10,-15.310233682514104,招商积余,房产服务,,12.2119,1.0286,110.74595708000001,110.74561025,1.1518,2.2957,25.8623,1.9867,5.0,14.4192,14.413126348547717,1.1750526058338269,1.1385,1.1345186721991702,-15.310233682514104,-15.308061473590767,-9.653052261747924,50,55,105
002939.SZ,,11.340000000462,2026-03-09,2025-09-10,-17.813051149732832,长城证券,证券,,15.5871,1.2022,376.0085923,335.76787760999997,0.5594,1.8026,18.9809,1.2043,48.0,20.79745,21.256660995850627,3.335263530937848,1.1259000000000001,1.1605136929460582,-17.813051149732832,-25.052830996107705,6.776800781596927,55,50,105
001283.SZ,,77.81,2026-03-09,2025-09-10,-20.79424238529752,豪鹏科技,电气设备,,32.6117,1.7837,61.59491219,49.14543649,2.636,0.5798,37.981899999999996,3.0931,92.0,50.73805,52.04554398340248,12.71264438350048,1.9871,1.9300639004149374,-20.79424238529752,-35.725357990699294,-10.236022344119572,70,35,105
000403.SZ,,17.84,2026-03-09,2025-09-10,-20.68385650224215,派林生物,生物制药,,24.0244,1.6756,134.48123012000002,133.11048368,1.1709,1.9027,26.59555,2.39415,16.0,23.78445,24.451466874999998,4.765112851319545,2.0987,2.187310416666667,-20.68385650224215,1.0088524224861217,-20.160099108972222,60,45,105
603418.SH,,79.5,2026-03-09,2025-09-23,-32.264150943396224,友升股份,汽车配件,,20.6211,2.3562,103.96735709000001,21.76746779,2.0594,,33.012,2.6005,113.0,22.19685,22.723395283018867,1.8331592344719863,2.5362999999999998,2.5858471698113203,-32.264150943396224,-7.098980260712681,-7.100895004534162,60,45,105
605050.SH,,19.860000000617998,2026-03-09,2025-09-10,-35.649546829797,福然德,仓储物流,,16.88,1.4796,62.98356933,62.98356933,1.2886,2.724,24.45795,1.8714,32.0,16.517400000000002,16.677523651452283,4.4979363392186835,1.3316,1.384600622406639,-35.649546829797,2.1952607553246692,11.114448783418455,60,45,105
003006.SZ,,29.28,2026-03-09,2025-09-10,-39.00273224043716,百亚股份,造纸,,26.1257,5.225,76.73509529,76.54313155,1.6532,3.0769,25.483249999999998,1.7033,18.0,35.4437,35.63422678185744,3.6633897880153086,7.3998,7.403720950323975,-39.00273224043716,-26.289580376766537,-29.389983513067925,85,20,105
603589.SH,,34.38,2026-03-09,2025-09-10,-23.06573589296103,口子窖,白酒,,14.5587,1.5105,158.20260034,158.20260034,0.5362,4.9187,15.7895,2.8338,13.0,13.7864,13.964343568464734,1.5708853931558728,2.1317000000000004,2.138721161825727,-23.06573589296103,5.601897522195784,-29.141061124923784,60,45,105
605333.SH,,32.32,2026-03-09,2025-09-10,-17.481435643564353,沪光股份,汽车配件,,18.8447,3.6234,123.75957627999999,116.4881808,0.4814,0.8117,33.012,2.6005,113.0,26.7671,32.17988755555555,16.55900336155116,6.4982,6.271362888888889,-17.481435643564353,-29.597528309006204,-44.239943368932934,75,30,105
600196.SH,,31.51,2026-03-09,2025-09-10,-18.375119009838155,复星医药,化学制药,,20.9239,1.4301,686.83442239,544.8753257899999,0.6416,1.2325,24.5447,2.3659999999999997,54.0,25.78335,27.267691493775942,4.912084400811607,1.42625,1.4460334024896266,-18.375119009838155,-18.84724056416253,0.2699386503067421,50,55,105
600000.SH,,13.97,2026-03-09,2025-09-10,-29.491768074445247,浦发银行,银行,,6.559,0.4451,3280.62507255,3280.62507255,0.3508,3.7827,5.9952000000000005,0.5809,42.0,6.7905,7.156998755186723,0.9875532691958879,0.471,0.48052987551867204,-29.491768074445247,-3.409174582136803,-5.49893842887473,50,55,105
600809.SH,,205.92,2026-03-09,2025-09-10,-22.707847707847705,山西汾酒,白酒,,15.7895,5.007,1941.69505574,1941.69505574,0.4164,2.2619,15.7895,2.8338,13.0,19.028950000000002,19.382308000000005,2.486857309917743,6.8068,7.000962444444445,-22.707847707847705,-17.023797949965715,-26.441205852970562,70,30,100
001391.SZ,,6.72,2026-03-09,2025-09-10,-15.327380952380942,国货航,仓储物流,,25.8763,2.6622,694.6853417,86.45124374000001,1.734,1.1424,24.45795,1.8714,32.0,36.294,37.80521228070176,9.86588140295318,3.3128,3.2456680701754386,-15.327380952380942,-28.703642475340267,-19.63897609273123,55,45,100
001386.SZ,,31.160000000844,2026-03-09,2025-10-22,-27.663671375515147,马可波罗,家居用品,,21.5099,2.259,269.334968,22.05791538,4.3532,1.331,22.223999999999997,2.02635,30.0,22.7123,23.23278021978022,1.7254245068143386,2.3582,2.4160483516483517,-27.663671375515147,-5.294047718637042,-4.206598252904765,50,50,100
600161.SH,,19.709999999814,2026-03-09,2025-09-10,-18.772196853622088,天坛生物,生物制药,,24.0536,2.7617,316.5771685,316.5771685,0.7197,1.5615,26.59555,2.39415,16.0,27.75105,31.06963091286307,6.1421156316988075,3.6064,3.7998724066390044,-18.772196853622088,-13.323640006414173,-23.42224933451642,60,40,100
002568.SZ,,25.24,2026-03-09,2025-09-10,-24.16798732171156,百润股份,红黄酒,,28.9117,4.2266,200.69219343,138.33593384,1.4356,1.5513,,,,34.94505,32.755410995850625,6.206833825596513,5.69815,5.525906639004148,-24.16798732171156,-17.265249298541573,-25.825048480647222,70,30,100
600861.SH,,20.04,2026-03-09,2025-09-10,-15.668662674650701,北京人力,文教休闲,,8.2685,1.3392,95.67304934,61.95114931,0.857,4.1361,25.1057,2.7077,16.0,10.786650000000002,13.217350829875521,7.606518671358324,1.6323500000000002,1.6363207468879668,-15.668662674650701,-23.34506079273919,-17.95877109688487,55,45,100
000877.SZ,,6.36,2026-03-09,2025-09-10,-16.50943396226416,天山股份,水泥,,19.176,0.4617,377.56710895,377.5670293,0.2803,,19.176,1.1269,11.0,24.6713,27.17695170940171,7.546276107309079,0.52485,0.5437658119658121,-16.50943396226416,-22.274059332098435,-12.032009145470141,55,45,100
601788.SH,,19.030000000704,2026-03-09,2025-09-10,-15.712033634226946,光大证券,证券,,19.833,1.1479,739.5703373,626.6344937800001,0.4091,1.3597,18.9809,1.2043,48.0,24.0259,26.72428278008299,9.371756855554912,1.3648,1.3479275933609955,-15.712033634226946,-17.451583499473493,-15.892438452520521,50,50,100
600576.SH,,8.26,2026-03-09,2025-09-10,-22.881355932203387,祥源文旅,旅游景点,,34.8772,2.2616,67.17473563,42.06684829,1.6896,,31.66735,2.2889,10.0,45.50385,47.87856431535269,13.052580288393592,2.5896999999999997,2.6204823651452283,-22.881355932203387,-23.353298676925135,-12.6694211684751,65,35,100
601728.SH,,7.29,2026-03-09,2025-09-10,-17.558299039780525,中国电信,电信运营,,15.9469,1.2005,5499.579035809999,4665.54669481,0.2528,4.5574,,,,18.2819,18.91498651452282,1.9210087172014927,1.3583,1.3739896265560168,-17.558299039780525,-12.772195450144682,-11.617463005227133,50,50,100
000550.SZ,,21.03,2026-03-09,2025-09-10,-15.454113171659534,江铃汽车,汽车整车,,12.9191,1.3117,153.4794492,92.18274985,0.6847,4.0045,21.4357,1.7981500000000001,14.0,13.0677,13.368226556016598,1.8344021279159213,1.7238,1.7695512448132782,-15.454113171659534,-1.1371549698875858,-23.90648567119155,50,50,100
